Nor I; 270000,00; 5; 1; 4; 7; 9
Ziemia; 900000,00; 6; 1; 4; 11; 7
Smok; 2203834,42; 4; 2; 3; 5; 6
Walka; 1000000,00; 4; 1; 3; 6; 7
Woda II; 1331017,00; 3; 2; 2; 4; 3
Wróżka; 2660793,19; 0; 2; 0; 0; 0
Elektro; 2400000,00; 4; 1; 4; 7; 9
Tru II; 602589,12; 0; 2; 0; 0; 0
Psycho; 2847646,62; 0; 2; 0; 0; 0
Tru I; 430000,00; 4; 1; 4; 9; 7
Roślina; 2100000,00; 5; 1; 5; 6; 10
Kamień; 2300000,00; 5; 1; 4; 8; 7
Ogień; 730000,00; 10; 1; 4; 11; 6
Nor II; 1421790,47; 0; 2; 0; 0; 0
Robak; 1129979,41; 0; 2; 0; 0; 0
Woda I; 2713909,54; 0; 2; 0; 0; 0
